Year,Is (10^6 m^3),Ig (10^6 m^3),P (10^6 m^3),Sum_in (10^6 m^3),Os (10^6 m^3),Og (10^6 m^3),ET (10^6 m^3),Sum_out (10^6 m^3),delta_S (10^6 m^3),residual (10^6 m^3),error,Q,I,ET,Cell,Cell.lab,vjust,hjust
1,177.4,9,25.9,212.2,148.3,40.9,19.5,208.6,-0.9,4.4,2.10%,71,20,9,ENRP (all cells),,,
2,275,9.8,23.2,307.9,238.1,47.4,20,305.5,0.7,1.8,0.60%,78,16,7,ENRP (all cells),,,
3,157.1,6.7,20.1,183.9,121.8,46.6,20,188.4,-0.5,-4,-2.20%,65,25,11,ENRP (all cells),,,
4,150.6,13.3,21,184.9,117.5,52.9,20.4,190.8,-3.1,-2.8,-1.50%,62,28,11,ENRP (all cells),,,
5,131.6,9.3,20,160.8,88.2,55.9,20.4,164.5,0,-3.8,-2.30%,54,34,12,ENRP (all cells),ENRP (all cells),-0.8,0.4
1,71.5,0,0.3,71.8,66.6,3.7,0.4,70.7,-0.1,1.2,1.70%,94,5,1,Buffer Cell,,,
2,275,0,0.8,275.8,235.6,7.7,0.7,244,0,31.8,11.50%,97,3,0,Buffer Cell,,,
3,157.1,0,0.7,157.8,131.6,7.6,0.7,139.9,0.1,17.8,11.30%,94,5,1,Buffer Cell,,,
4,150.6,0,0.7,151.4,139.8,8.5,0.7,149,-0.3,2.6,1.70%,94,6,0,Buffer Cell,,,
5,106.8,0,0.6,107.4,92.7,7.3,0.6,100.6,0,6.8,6.30%,92,7,1,Buffer Cell,Buffer Cell,-1,1
1,32.2,1.4,2.9,36.5,31.1,0,4.2,35.4,0.4,0.7,1.80%,88,0,12,Cell 1,Cell 1,-1,-0.3
2,101.6,4.2,7.9,113.8,106.3,0.2,6.9,113.3,0.2,0.2,0.20%,94,0,6,Cell 1,,,
3,50.1,2.9,6.9,59.8,51.6,0.1,6.9,58.6,-0.9,2.1,3.50%,88,0,12,Cell 1,,,
4,52,5.8,7.2,64.9,52.7,0.3,7,60.1,-0.4,5.2,8.10%,88,0,12,Cell 1,,,
5,37.4,3.6,6.1,47.1,40.7,0.4,6.1,47.2,0.5,-0.5,-1.00%,86,1,13,Cell 1,,,
1,34.4,0,2.3,36.7,26.8,11.1,3.3,41.2,-0.1,-4.4,-11.90%,65,27,8,Cell 2,,,
2,134,0,6.2,140.2,130.3,23.2,5.4,158.8,0.1,-18.7,-13.40%,82,15,3,Cell 2,,,
3,81.6,0,5.4,87,76.6,22.8,5.4,104.8,0.6,-18.5,-21.30%,73,22,5,Cell 2,,,
4,87.8,0,5.6,93.4,78.5,25.7,5.5,109.6,-1.6,-14.6,-15.60%,72,23,5,Cell 2,,,
5,55.3,0,4.8,60.1,48.7,21.9,4.8,75.4,0.4,-15.7,-26.10%,65,29,6,Cell 2,Cell 2,-1,1
1,31.1,1.8,2.3,35.3,27.7,3.7,3.3,34.6,0.2,0.5,1.30%,80,11,10,Cell 3,,,
2,106.3,5.5,6.1,117.9,114.1,7.7,5.3,127.1,0.2,-9.4,-8.00%,90,6,4,Cell 3,,,
3,51.6,3.8,5.3,60.7,49.3,7.5,5.3,62.1,-0.5,-0.9,-1.50%,79,12,9,Cell 3,,,
4,52.7,7.5,5.5,65.8,50.6,8.8,5.4,64.8,-0.4,1.3,2.00%,78,14,8,Cell 3,,,
5,49.9,4.7,4.7,59.4,38.9,7.6,4.7,51.3,0.6,7.5,12.70%,76,15,9,Cell 3,Cell 3,-1,0
1,26.8,0,0.8,27.6,21,4.2,1.2,26.3,-0.1,1.4,5.10%,80,16,5,Cell 4,,,
2,130.3,0,2.2,132.5,124,8.7,1.9,134.6,0.1,-2.1,-1.60%,92,6,1,Cell 4,,,
3,76.6,0,1.9,78.6,72.5,8.5,1.9,83,0.2,-4.6,-5.90%,87,10,2,Cell 4,,,
4,78.5,0,2,80.5,66.9,9.6,1.9,78.4,-0.5,2.5,3.20%,85,12,2,Cell 4,,,
5,48.7,0,1.7,50.5,40.3,8.2,1.7,50.2,0.2,0.1,0.20%,80,16,3,Cell 4,Cell 4,-1,1
